Bin	TCGA-BT-A3PJ	TCGA-DK-A1A7	TCGA-FD-A3N5	TCGA-FT-A3EE	pooled_low_WT	TCGA-BL-A13J	TCGA-BT-A20T	TCGA-BT-A20V	TCGA-BT-A2LA	TCGA-DK-A1A5	TCGA-DK-A1A6	TCGA-DK-A1AA	TCGA-DK-A3IL	TCGA-GD-A2C5	TCGA-H4-A2HQ
chr1-35010001-36010000	0.520833	1.08303	1.12994	1.44928	0.586854	0.311526	1.16618	0	0.304878	0.341297	0	0.57971	0.372439	0.289855	0.699301
chr1-36010001-37010000	0.997151	1.40105	0.635209	0.986842	0.671141	0.576369	0.493827	0.302115	0.831025	0.9375	0.515464	0.328947	0.684932	0.255102	1.00756
chr1-37010001-38010000	0.656168	0.398406	0.862895	1.42857	0.81728	0.909091	0	0.340136	1.75439	1.23839	1.35659	0.547945	0.965251	0	0.995851
chr1-38010001-39010000	1.20643	0.934579	0.45208	0.653595	1.12094	0.573066	0.263852	1.17302	0.550964	0.911854	0.675676	0.30581	1.52091	0.320513	0.0862069
chr1-41010001-42010000	1.53631	0.897666	0.739372	1.3245	0.399772	0.294985	0.544959	0	0.943396	0.619195	0	0	0.347222	0.3003	0.526778
chr1-42010001-43010000	0.835655	1.13422	1.02996	0.331126	0.541842	1.24224	0.917431	0.754717	0.952381	0.677966	0.93633	0.595238	1.15607	0	0.593723
chr1-43010001-44010000	1.01302	1.78571	0.9839	1.55039	0.670017	0.824176	0.797872	0.743494	1.28617	1.41343	0.345423	0.27933	0.93633	0.297619	0.361664
chr1-44010001-45010000	0.956284	1.85874	0.743494	0.961538	0.568182	0.837989	1.00503	0.3125	0.60241	0.704225	0	0.286533	0.747664	1.21951	0.340136
chr1-48010001-49010000	1.66667	1.28676	1.05668	1.0101	0.587467	1.28617	0.522193	0	0.980392	0	0.922509	0.869565	0.732601	0	0.684932
chr1-50010001-51010000	1.18168	1.2939	0.652985	0.970874	1.33843	2.03488	0.738916	1.37457	2.75862	1.33779	1.17188	1.88088	0.763359	1.97368	1.32392
chr1-51010001-52010000	1.57895	2.11132	1.04463	0.719424	0.810979	0.595238	0.626959	0.37037	0.925926	0.671141	0.3663	0.78329	0.604839	0.304878	0.336984
chr1-52010001-53010000	0.938338	0.750469	1.16054	0.719424	0.856269	0.821918	0	0.719424	0.990099	0.940439	0.574713	0.537634	0.744879	1.09589	0.507185
chr1-53010001-54010000	1.67598	0.905797	0.465116	1.91083	0.676056	0.298507	1.39665	0	1.17302	1.12045	0.169779	0	1.03986	0	0.581879
chr1-54010001-55010000	1.23288	1.02564	1.03481	1.00671	0.66778	0.821918	0.842697	0.668896	0.934579	0.308642	1.1745	0.289855	0.558659	0	0.954654
chr1-55010001-56010000	0.701262	0.699301	1.20148	0.328947	0.822079	0.315457	1.17647	1.35135	0.900901	0	0.184162	0.589971	1.12782	0.892857	0.485437
chr1-56010001-57010000	1.2016	0.377358	0.905433	1.05634	1.1757	0	1.39276	0.377358	0	0.630915	1.07527	1.54321	0.603622	0.60423	0.90009
chr1-57010001-58010000	0.829876	1.23675	1.16279	1.41844	0.828553	0.615385	0.606061	0.378788	0.348432	2.23048	0.564972	1.88679	0.788955	0.60241	1.05079
chr1-59010001-60010000	0.802139	2.34657	1.06383	2.38095	0.4313	0	1.10803	0.993377	1.04167	1.9802	0.352113	0	0.581395	0.931677	0.701754
chr1-60010001-61010000	1.06545	1.14723	1.36719	1.03448	1.27261	0	1.18343	0.374532	1.0274	0.355872	0.3861	0.859599	0.383877	0	0.964912
chr1-61010001-62010000	0.867052	0.819672	0.934579	1.77936	0.724161	0.571429	0.544959	1.26984	0.390625	1.05634	1.24334	1.70068	0.619835	0	0.664137
chr1-62010001-63010000	0.573888	0.35461	1.22873	1.77936	0.59952	0.277778	1.23077	1.0274	1.08696	1.45985	0.385356	0.600601	0.695652	0.568182	0.688468
chr1-63010001-64010000	0.952381	1.47059	0.989209	1.04895	0.979192	1.50602	1.25786	0	0.33557	0.716846	0.996016	0.874636	1.2024	0.316456	1.07431
chr1-64010001-65010000	0.688705	0.957854	1.1583	1.08696	0.811993	0.31348	1.17994	0.694444	2.71186	0.793651	1.30354	0.651466	1.20968	0.319489	0.352113
chr1-65010001-66010000	0.817439	0.760456	1.93192	2.3569	0.96401	0.609756	1.11421	1.4652	0.722022	1.57729	0.189036	0.578035	0.37594	0	0.631199
chr1-66010001-67010000	0.851064	1.19048	1.49551	1.41343	1.42672	1.16279	2.61628	0.813008	3.32103	2.8	1.23967	0.928793	2.06186	1.69492	1.50177
chr1-67010001-68010000	1.27479	1.66359	0.649954	1.81159	1.0688	1.12045	1.50602	0.70922	2.61438	1.85185	0.389864	0.625	0.371747	0.993377	1.29032
chr1-68010001-69010000	1.0043	2.2807	0.484496	2.22222	0.582147	1.26183	0.940439	1.0101	0.701754	1.63265	0.718133	0.307692	0.954198	1.36986	0.800712
chr1-69010001-70010000	1.27841	0.731261	1.80266	1.94175	1.64384	1.51057	1.76991	0.4	1.50943	1.39373	1.91205	1.66113	0.743494	1.94805	1.95556
chr1-70010001-71010000	0.898204	1.63339	0.578592	2.12014	0.841969	1.74419	3.76176	0.727273	2.04082	2.01613	2.63692	1.12994	1.05932	1.19048	2.50696
chr1-71010001-72010000	1.19403	2.37624	1.05566	1.42349	1.24567	1.90476	1.47493	1.16279	1.50943	0.436681	0.753296	1.69492	0.757576	1.76056	2.43902
chr1-72010001-73010000	1.52566	1.2024	1.65289	1.03093	2.12342	3.27869	1.47493	1.1811	1.11111	3.01887	1.1976	1.3289	1.59681	4.53074	3.15315
chr1-73010001-74010000	1.3986	0.78125	1.42721	1.82482	2.38095	1.91257	1.3468	2.78884	0.373134	0.749064	2.46407	3.65854	2.26337	3.58306	1.14236
chr1-74010001-75010000	1.93741	1.52964	1.36187	1.07914	0.970874	0.58651	1.90476	2.83401	2.43902	0.909091	2.39411	2.01729	0.785855	0.952381	2.1838
chr1-75010001-76010000	1.58479	0.601202	1.22873	1.77305	1.15979	1.47493	1.24224	3.52113	1.85874	0.4	1.30841	1.62866	2.31214	4.53074	1.3587
chr1-76010001-77010000	1.14286	1.2605	1.05263	1.5625	1.10957	1.5528	0.283286	0.78125	1.84502	0.796813	2.4952	1.14943	1.93424	1.91083	2.513
chr1-77010001-78010000	1.33511	1.19284	1.61905	0.347222	1.03093	0.958466	1.30719	0.403226	1.07527	0.724638	1.14943	1.6129	1.90678	0.653595	3.15431
chr1-78010001-79010000	0.949796	1.17417	1.08055	1.3468	0.896287	1.86335	0.566572	1.09091	0.359712	0	1.05485	1.18343	0.587084	0.914634	0.880282
chr1-79010001-80010000	0.749625	0.775194	0.934579	2.27273	1.51724	1.20482	1.80505	2.71318	0.359712	2.02429	1.11732	1.86916	1.68067	0.986842	1.60075
chr1-80010001-81010000	1.23967	0.907441	1.22526	1.03093	1.99468	0.900901	1.47059	2.22222	0.406504	2.45902	0.42735	2.41692	1.30841	2.1875	2.59624
chr1-81010001-82010000	1.37363	0.917431	1.7192	1.70648	1.03591	1.03448	0.292398	1.93798	1.63265	2.41935	0.95057	1.35593	2.05339	0.711744	1.63043
chr1-82010001-83010000	1.65165	0.770713	0.748363	1.41343	1.3601	0.304878	0.626959	1.52091	0.735294	1.17188	0.932836	1.35593	0.779727	1.71233	1.54827
chr1-84010001-85010000	0.525624	0.37037	0.98912	1.47059	0.668896	0	0.273973	0.377358	0	0.361011	0.406504	0.609756	1.01833	0.60241	0.08726
chr1-85010001-86010000	0.679348	1.45985	1.47203	1.3245	0.556586	0.869565	0.630915	0	1.31148	0.790514	0.750469	0.2849	0.34662	0.983607	0.53286
chr1-86010001-87010000	0.674764	1.07296	1.14613	0.34965	1.01078	0.28169	1.1976	0.314465	1.1194	0	0.631579	0.290698	0.840336	0.346021	0.267857
chr1-87010001-88010000	1.27298	1.0772	1.15453	1.53846	0.794621	0	1.58228	0.694444	0	0.692042	0.860585	1.76991	0.403226	0	0.275229
chr1-88010001-89010000	2.04678	0.205761	1.15942	0.735294	0.655738	0.298507	1.27796	0.696864	0	2.04778	1.14504	0.285714	1	1.40845	0.451264
chr1-89010001-90010000	0.69735	1.13208	0.970874	0.694444	0.707395	0	0.320513	1.1811	0.31348	0.769231	0	2.14724	1.1976	0.636943	0.0873362
chr1-90010001-91010000	0.69541	0.770713	1.1535	1.09091	0.765306	0.291545	1.79104	0	2.20588	0.714286	0.528169	0	0.833333	0.911854	0.355872
chr1-91010001-92010000	0.690608	0.723327	1.05163	1.37931	0.900322	0.617284	0.299401	0.35461	0.740741	0.350877	0.546448	1.62338	0.393701	0.711744	1.31086
chr1-92010001-93010000	1.14943	1.48423	1.20846	0.760456	1.05194	0.557103	0.284091	0.689655	0.634921	1.08696	0.356506	0	0.576923	0	0.432526
chr1-94010001-95010000	0.791557	0.869565	0.959693	1.1583	0.8125	0	1.1396	0.694444	1.2987	0.769231	0.181159	0	0.759013	0.638978	0.272975
chr1-95010001-96010000	1.39082	1.38067	0.731261	1.18577	0.751409	0	0.835655	1.5444	1.06383	1.04895	0.374532	0	0.769231	1.06007	0.357143
chr1-96010001-97010000	1.22324	1.2987	0.785083	1.53257	1.94175	1.44928	2.33333	0.3663	0.384615	1.17188	2.30126	1.19048	1.65975	2	1.6129
chr1-97010001-98010000	1.04167	0.843882	0.473934	1.43369	1.20887	3.31325	1.5528	1.13636	1.63934	1.08303	1.17188	0.955414	1.82556	1.35593	1.08401
chr1-98010001-99010000	1.30246	1.91205	0.463822	1.67785	1.44033	1.75953	1.13636	0	3.01887	2.7451	1.37525	0.931677	0.604839	1.00334	0.868056
chr1-99010001-100010000	0.536193	1.13852	0.925069	1.42857	1.22567	0	0.903614	1.53846	0.775194	0.763359	0.826446	0.831025	0.19084	1.21581	0.833333
chr1-100010001-101010000	1.40845	1.7341	0.928505	0	0.632111	0	0.903614	0.342466	0.75188	1.13636	0.592885	0.293255	0.182482	0.906344	0.183486
chr1-101010001-102010000	1.18343	0.52356	1.25523	0.37594	0.737265	1.63399	0.892857	1.68776	1.2	1.14504	0.967118	1.64474	1	1.25392	1.732
chr1-102010001-103010000	1.10345	0.579151	1.43266	1.83824	1.56676	1.79104	1.5528	2.57353	1.31004	2.25225	1.77515	1.83486	2.95359	2.63158	2.18978
chr1-105010001-106010000	0.835655	1.77305	1.46056	1.07143	3.68722	2.89389	2.35988	3.3195	1.44928	0.70922	5.5666	5.57185	2.38569	3.16456	3.07263
chr1-106010001-107010000	2.05371	0.767754	1.37741	2.72109	3.00546	2.34899	2.34604	1.0274	3.5461	3.07692	1.9305	6.51466	2.39044	1.9544	3.89036
chr1-107010001-108010000	0.712251	0.556586	0.926784	1.08303	1.0356	1.86335	1.98675	1.16732	2.86885	2.04918	1.34357	0.626959	1.59681	1.92926	1.41844
chr1-109010001-110010000	0.397351	0.878735	0.818182	0.617284	0.40674	0	0.269542	1.38889	0.296736	1.65017	0.356506	0	0.860585	0.617284	0.681431
chr1-110010001-111010000	0.75	1.05448	1.18812	0.34965	0.395034	0.543478	0.568182	0.30581	0.847458	1.35135	0.343053	1.18343	0.559701	2.79503	0.606586
chr1-111010001-112010000	1.22616	2.21811	1.04762	0.362319	0.635324	1.71821	1.11732	0	1.84502	0.746269	0.573614	0	0.743494	1.26984	0.343053
chr1-112010001-113010000	0.593472	1.10906	1.18812	1.33779	0.603136	0.307692	0.519481	0.367647	1.63934	0	0.178571	1.25	0.94162	0.60241	0.434405
chr1-114010001-115010000	0.426136	0.856164	1.12254	0.993377	0.676923	0.289855	0.767263	0.735294	0.3861	0.775194	1.14723	1.1976	0.399202	0.344828	0.721371
chr1-115010001-116010000	1.02489	1.9573	1.11317	2.14286	0.393185	0.276243	0.262467	0.766284	1.16279	0.373134	0	1.43678	1.69811	0.595238	0.264784
chr1-116010001-117010000	1.1396	1.1236	1.83655	1.02041	0.372439	1.36519	0.57971	0.353357	0.322581	0.784314	0.613497	0.294985	0	0.636943	0.446429
chr1-117010001-118010000	0.882353	1.26812	1.17188	0.377358	0.419413	0.552486	0.824176	0.344828	0.684932	1.13208	0	0	0.775194	1.25392	0.868056
chr1-118010001-119010000	0.424929	0.746269	0.870406	0.719424	0.664452	0.291545	1.13636	1.03806	1.05263	0	1.17417	0.319489	0.568182	0.343643	1.11421
chr1-119010001-120010000	0.674764	0.184162	1.0628	1.09091	0.647668	0.821918	1.21951	0	2.37154	0.701754	0.952381	0.607903	0.399202	0.323625	1.36612
chr1-151535435-152535434	0.417246	1.15163	0.892061	1.50943	0.600962	0.291545	0.84507	0	0.993377	0.330033	0.545455	0.303951	1.36187	1.28617	0.169205
chr1-152535435-153535434	0.973574	2.20183	0.641026	0.749064	0.774194	0.628931	1.41643	0.724638	1.36519	1.48699	0.369004	0.564972	0.56391	0.598802	0.345125
chr1-154535435-155535434	0.497512	0.96	0.94162	0.906344	0.872886	1.11421	0.251889	1.32013	1.11111	1.53374	0.684932	0.568182	0.877193	1.07817	0.4329
chr1-156535435-157535434	1.25945	1.44404	1.17188	3.23625	0.498339	0.273973	0.864553	0	0.285714	0.735294	0.371747	0.284091	1.04712	1.25786	0.346921
chr1-157535435-158535434	0.805369	1.71756	1.51976	1.3245	1.35484	3.73832	2.67062	1.83824	2.38095	2.75862	1.40845	1.6835	1.69133	1.2945	1.43954
chr1-158535435-159535434	1.78571	1.53257	1.26953	1.60772	1.74614	3.29341	2.83019	2.94118	1.78571	3.21285	1.32576	1.81269	2.16963	1.88679	2.37877
chr1-159535435-160535434	1.51515	0.957854	0.884956	0.623053	0.556586	0.578035	0.852273	0	0.993377	0.974026	0.185529	0.593472	0.974659	0.617284	1.37221
chr1-162535435-163535434	0.991501	1.11111	1.05668	0	0.784314	1.71821	1.16618	0.421941	1.05634	1.55642	0.560748	0.289855	0.59761	1.1976	0.48216
chr1-163535435-164535434	1.33136	2.77778	0.486381	1.16279	1.67673	4.59364	1.74419	1.55642	1.14504	2.69058	1.00604	1.58228	1.16732	1.85185	0.520833
chr1-164535435-165535434	1.2605	2.05993	1.50602	0.96463	1.16137	1.73913	0.289855	0.363636	0.352113	0.819672	0.518135	0	1.70455	0.3125	0.626679
chr1-166535435-167535434	0.97629	0.904159	0.466853	1.08303	0.797546	0.301205	0.931677	1.03806	0.668896	0	0.733945	0.542005	0.561798	0.986842	0.630063
chr1-167535435-168535434	0.539084	1.17417	1.59027	0.348432	0.75662	1.09589	0.819672	0.724638	1.10294	0	0.728597	0.308642	0.607287	0.852273	0.951557
chr1-168535435-169535434	0.414365	1.97239	1.61905	0.666667	0.656599	1.24224	1.51976	0.694444	0.746269	1.84502	1.38067	0	0.804829	0	1.01289
chr1-169535435-170535434	0.556328	1.64948	1.92123	1.5625	1.00334	1.5674	1.81269	0.377358	1.36986	0.383142	1.51515	2.64026	1.47992	1.03448	1.95209
chr1-170535435-171535434	0.89153	0.974659	1.06178	1.5748	1.40485	2.47678	0.611621	2.16606	2.48227	1.53846	0.943396	0.946372	1.36986	0.96463	2.37258
chr1-171535435-172535434	0.726744	0.948767	0.565504	1.06007	0.901481	0.58309	1.48368	0.373134	1.07914	0.784314	0	1.52905	0.42735	1.0101	1.11588
chr1-172535435-173535434	0.139276	0.596421	0.492126	0.716846	0.769724	2.31788	0.549451	0.743494	1.06383	0.406504	0.639659	0.606061	0.181818	0.630915	0.915751
chr1-174535435-175535434	0.404858	0.200803	1.31827	1.19048	1.29366	1.7341	0.872093	1.32013	1.07914	1.48699	0.384615	0	1.78218	0	1.47186
chr1-175535435-176535434	0.441176	0.519931	1.22757	0.37594	1.16959	0.621118	0.892857	1.13636	0.684932	0.341297	0.961538	1.74927	0.571429	0.290698	2.23518
chr1-176535435-177535434	0.282885	0.978474	1.80723	1.08303	1.35685	2.28013	0.895522	0.724638	1.0453	2.62172	2.0073	0.301205	1.51229	1.39373	2.05174
chr1-177535435-178535434	0.284091	1.40845	1.11214	0	0.62383	0.96463	0.555556	0.346021	0.324675	0	0.191205	0.294985	0.196464	0.307692	0.91659
chr1-179535435-180535434	0.544959	0.595238	0.486855	1.80505	0.860479	1.17994	0.864553	0.677966	0.977199	0	0.371058	0.3003	0.37594	1.21581	0.661704
chr1-180535435-181535434	1.15774	1.02389	1.16618	0.338983	0.602047	0.621118	0.560224	1.20846	2.3569	0.347222	0.35461	0.606061	0.585938	0	0.361664
chr1-181535435-182535434	0.70922	0.943396	0.985222	0.996678	1.33588	0.285714	1.38889	0.395257	1.0101	1.03806	0.373134	1.25	0.961538	0.310559	0.535714
chr1-182535435-183535434	0.70028	0.560748	0.931966	1.03093	0.841346	1.15942	0.291545	0.757576	1.07527	0.3367	1.25	0.554017	0.6	0.311526	0.37037
chr1-183535435-184535434	0.420757	0.749064	1.1583	0.348432	0.782779	0.78534	0.60423	0.367647	1.30719	0.766284	0.182149	0	0.984252	0.925926	0.618921
chr1-184535435-185535434	0.280505	0.410678	1.43003	1.71821	0.659631	1.88679	0.645161	1.10701	1.1976	0.41841	0.197628	0.911854	0.835073	0.316456	1.11008
chr1-185535435-186535434	0.382653	0.974659	0.966184	0.946372	1.09607	3.01205	0.864553	0.655738	3.38346	0.749064	1.31086	0.31348	1.35397	0.949367	1.04167
chr1-186535435-187535434	0.573888	0.83682	0.98912	1.33333	1.37525	2.45399	1.21951	0.766284	1.51515	1.5444	0.556586	0.917431	1.44628	0.597015	1.43369
chr1-187535435-188535434	0.27137	0.567108	1.54143	1.9685	2.58435	2.75229	1.84615	1.49813	2.04918	0.45045	1.41988	2.32558	1.77778	0.653595	1.86005
chr1-188535435-189535434	0.546448	0.365631	1.42857	0.996678	1.89061	3.07692	1.5528	5.71429	3.125	0.722022	2.15264	0.598802	3.28947	0.657895	1.6158
chr1-189535435-190535434	0.391134	0.729927	0.907441	1.76678	2.72788	3.07692	0.306748	5.81395	1.19048	3.40909	1.14068	2.67857	3.37553	3.77358	2.24215
chr1-190535435-191535434	0.814111	1	2.04479	1.01351	2.5	5.45977	2.76923	3.26087	2.9661	0.8	2.98507	2.25806	4.60653	2.59259	3.02172
chr1-191535435-192535434	0.42796	0.980392	0.661001	3.42205	2.44068	4.33526	1.96721	2.40964	2.14592	1.94553	1.07914	1.30719	1.86722	1.74216	2.8597
chr1-192535435-193535434	0.423131	0.957854	1.48976	1.03448	0.457816	4.0625	0.649351	0.701754	0.980392	1.14504	1.12782	1.52905	0.610998	0.332226	0.648749
chr1-193535435-194535434	1.059	0.753296	1.57947	1.3986	1.95155	4.51613	3.53982	0.787402	2.65152	0.408163	3.08285	4.14013	2.20884	2.31788	2.1777
chr1-194535435-195535434	0.829876	0.757576	1.24352	2.24719	2.76498	3.0303	3.08642	4.7619	1.45455	2.88066	3.1068	1.85185	2.97872	4.86111	2.92237
chr1-195535435-196535434	0.429185	0.984252	0.861244	1.37457	0.932091	1.5674	1.78042	1.0453	2.13523	1.23967	2.03327	1.875	2.70833	1.52905	1.67286
chr1-197535435-198535434	0.704225	0.193424	1.03481	0.77821	0.60241	0.869565	0.595238	0.722022	0.729927	1.52091	0.756144	0.308642	1.07991	0.333333	0.677966
chr1-198535435-199535434	0.605144	1.60966	1.82517	2.11268	2.07039	2.96053	1.28205	0.3663	1.19522	0.35461	2.25225	1.54799	1.72786	1.89873	1.95382
chr1-199535435-200535434	0.549451	1.25224	0.977517	2.31788	0.718993	1.08992	1.10193	1.81818	0.967742	1.33333	1.24334	1.33333	1.27505	0.609756	0.993677
chr1-200535435-201535434	0.905563	0.932836	0.576923	0.666667	0.786959	0.621118	1.0582	0.358423	1.10803	0	0.535714	0.26455	0.358423	0	0.258398
chr1-202535435-203535434	0.656168	0	1.50235	0.666667	0.907544	0	0.524934	0.600601	1.27796	0.338983	0	0.600601	0.934579	0.821918	0.339271
chr1-203535435-204535434	0.680272	0.575816	0.690335	0.636943	0.744133	0.958466	1.06952	0	1.36054	0	0.749064	0.606061	0.689655	0.320513	0.527704
chr1-204535435-205535434	0.714286	1.08108	1.20594	1.01351	0.760234	0.280112	2.16049	0.928793	1.82927	0	0.927644	0.619195	1.1925	1.19048	0.981267
chr1-206535435-207535434	0.71736	0.927644	1.17647	1.31579	0.52879	0.34965	0.909091	0.706714	1.30719	1.09489	0.828157	0.27027	0.917431	0.30303	0.669456
chr1-208535435-209535434	0.589971	0.746269	1.46771	1.84502	0.852459	2.62295	1.44092	0.362319	3.26087	0.746269	0.194932	1.68539	1.72043	0.327869	1.30095
chr1-209535435-210535434	0.706215	0.896057	0.947867	1.96721	0.636132	0.274725	0.304878	1.0453	1.44404	0.696864	0.550459	1.39276	0.968992	1.70068	0.526316
chr1-210535435-211535434	1.0101	1.31827	0.899101	2.02703	0.988875	0.280899	0.952381	0.716846	0.722022	1.05634	0.199601	0.316456	0.92081	0.643087	0.79646
chr1-211535435-212535434	0.564972	0.347826	1.03676	2.86738	0.592768	0.291545	1.95531	1.64474	1.48368	0.719424	0.787402	0.555556	1.1194	0.892857	0.914381
chr1-212535435-213535434	0.795756	0.564972	0.860421	0.337838	0.4245	0.558659	0.835655	0.732601	0.557103	0.722022	0.378788	0.606061	1.15385	0.297619	0.69869
chr1-213535435-214535434	0.437318	0	0.874636	0.657895	0.954806	0.625	0.859599	0.381679	1.03806	1.08303	0.39604	1.28617	0.573614	0.607903	1.11214
chr1-214535435-215535434	0.425532	0.784314	1.29032	1.42349	1.37076	0.600601	0.617284	1.10701	0.719424	2.29885	1.3308	1.34228	1.20724	0.657895	1.18182
chr1-215535435-216535434	1.25874	0.736648	1.29611	1.36519	1.84049	1.21951	2.29226	0.719424	1.32743	1.7316	1.2963	0.917431	1.12994	0.983607	0.902527
chr1-216535435-217535434	0.991501	0.724638	1.53551	1.55642	1.48387	0.840336	1.11421	1.52672	0.3663	0.990099	1.27505	1.27389	0.556586	1.0101	1.74632
chr1-217535435-218535434	0.745156	1.02669	0.64695	0.760456	1.3266	1.96078	0.628931	1.1583	1.8315	0.754717	0.5386	1.23457	1.5534	0.593472	1.62393
chr1-218535435-219535434	0.58651	1.19522	1.54889	0.727273	1.13258	3.125	1.38504	1.79372	1.88679	1.43885	2.07547	2.52366	1.60321	3.24675	2.5
chr1-219535435-220535434	0.846262	0.548446	1.20482	1.07527	1.08488	0.566572	1.11732	1.68919	0.344828	0.384615	1.10497	0.341297	0.978474	0.316456	0.990991
chr1-220535435-221535434	1.1236	1.417	1.17647	0.689655	0.313676	1.27796	0.292398	0.722022	0.298507	0.754717	1.12782	0.923077	0.907441	0.980392	0.970018
chr1-221535435-222535434	0.944882	1.1194	0.944287	0.743494	0.764331	0.302115	0.297619	0.727273	1.88679	0.701754	0.764818	0.558659	1.43149	0.327869	0.723327
chr1-224535435-225535434	0.554017	0.369004	1.5343	0.983607	0.819156	0.895522	1.65289	0.367647	0.943396	0.735294	0.397614	1.23457	0.389105	0.60423	0.520833
chr1-225535435-226535434	0.810811	0.519031	0.572519	1.66667	0.660793	0.560224	0.540541	0.634921	0.837989	0.619195	0.541516	0.278552	0.371058	0.578035	0.41876
chr1-226535435-227535434	0.42796	0.537634	0.956938	0.647249	0.530035	0.630915	0.564972	0.673401	0.903614	0.636943	0.694444	1.2012	0.353982	2.64706	0.255319
chr1-227535435-228535434	0.925926	1.38648	0.442087	0.673401	0.80732	0	0.793651	0.334448	0.769231	0.328947	0.490196	1.52905	0.723327	0	0.253593
chr1-229535435-230535434	0.514139	0.16835	0.80573	1	0.455581	0	0.819672	1.02041	1.41243	0.343643	0.362976	0.282486	1.14286	0.903614	0.609756
chr1-230535435-231535434	0.263852	0.693241	0.481232	0.974026	0.785024	0.291545	0.298507	1.39373	1.68067	0.967742	1.19522	0	1.34875	0.96463	1.08878
chr1-231535435-232535434	1.2766	0.927644	1.2884	0.666667	0.671551	0.584795	0.573066	0.766284	0.684932	0	0.544465	0.295858	0.590551	0.3003	0.274474
chr1-232535435-233535434	0.56899	1.40351	1.16959	0.793651	0.465929	1.40056	1.23839	1.41343	0.958466	0	0.883392	0.852273	1.16505	0.917431	0.721371
