Bin	pooled_low_Mutant	TCGA-BT-A3PJ	pooled_low_WT	TCGA-BT-A20T	TCGA-BT-A2LA	TCGA-BT-A3PH	TCGA-CF-A27C	TCGA-DK-A1A5	TCGA-DK-A1A6	TCGA-GD-A2C5	TCGA-H4-A2HQ
chr1-41010001-42010000	1.69779	0.933707	0.883978	0.531915	0.757576	1.21837	0	1.17773	0.765697	0.52356	0.917431
chr1-42010001-43010000	0.35461	0.888889	1.50586	1.03226	1.87354	1.17417	0.310559	0.974026	0.298954	1.20069	2.08748
chr1-43010001-44010000	1.80505	0.84507	0.762943	0.860832	0.75188	1.74419	0.920245	0.845666	1.80723	0.343643	0.939457
chr1-44010001-45010000	0.397614	1.33215	0.486224	1.12994	0.724638	1.39405	0.821918	0.665927	0.681199	1.41343	1.59405
chr1-48010001-49010000	1.01868	1.2931	0.481799	0.770218	0.985222	1.26582	0.940439	1.66113	0.979021	0.830565	0.705645
chr1-50010001-51010000	0.579151	1.58434	0.823723	0.972222	1.19617	0.463392	1.21951	1.04046	1.0687	1.00334	1.27701
chr1-51010001-52010000	0.978474	1.21156	0.748417	0.655308	1.25313	1.11421	0.295858	1.8143	1.04634	2.03704	0.443951
chr1-52010001-53010000	1.94932	2.28938	0.757986	0.537634	0.738916	1.04167	1.69492	2.00634	1.21212	2.01681	1.0352
chr1-53010001-54010000	1.21951	1.01103	0.80171	0.552486	1.79775	1.69323	0.706714	1.23043	0.574713	0.899281	1.26183
chr1-54010001-55010000	0.744879	1.3913	0.817884	0.948509	1.18483	1.12045	2.21607	0.823529	1.6035	0.337838	1.44284
chr1-55010001-56010000	2.09924	1.93548	0.426212	0.5	0.773196	0.808081	0.289855	1.10254	1.21029	1.48423	0.861141
chr1-56010001-57010000	0.195312	0.617284	0.820569	1.17647	1.88679	0.564972	2.1875	0.524109	1.14286	0.801282	0.725389
chr1-57010001-58010000	0.899281	1.40845	1.07759	1.06242	1.73697	1.27389	0.854701	1.34298	0.667557	0.671141	0.890208
chr1-59010001-60010000	1.16054	1.25313	1.34192	0.530504	1.42857	0.69808	0.869565	1.32518	0.459418	1.15163	1.38203
chr1-60010001-61010000	1.72084	1.43498	0.642742	1.33511	1.22549	1.35379	0.78534	0.956429	0.703235	0.359712	0.918367
chr1-61010001-62010000	1.81818	1.0772	1.47139	0.97629	0.921659	1.18812	0.645161	1.0627	0.608828	2.29446	1.85759
chr1-62010001-63010000	0.622407	0.834879	0.861079	1.25523	0.492611	1.04364	1.66205	1.22494	0.987306	0.537634	2.1814
chr1-63010001-64010000	0.738007	0.925069	0.953449	0.970874	1.21951	1.43816	1.70455	1.43965	0.597015	0.361011	1.71038
chr1-64010001-65010000	1.32827	0.629496	1.01124	0.677507	1.05541	0.654818	0.574713	0.893855	0.994318	0.367647	1.6684
chr1-65010001-66010000	1.55945	1.07623	0.759219	0.948509	1.79028	1.2	0.287356	0.789177	0.934579	0.826446	1.23967
chr1-66010001-67010000	1.61871	1.35939	0.651466	2.24719	1.46699	1.20037	0.923077	1.15183	0.840336	1.0101	1.53846
chr1-67010001-68010000	0.545455	1.13208	0.739898	0.725689	1.3986	1.2	0.60241	0.881057	1.0355	1.2844	0.821355
chr1-68010001-69010000	0.735294	0.690846	0.802292	1.03226	0.742574	1.58582	2.23464	1.14823	1.13475	1.31579	1.41921
chr1-69010001-70010000	2.11132	1.17647	1.07955	0.641849	0.75188	0.746965	0.887574	1.10132	1.05581	1.42602	1.42712
chr1-70010001-71010000	0.389864	0.822669	1.59956	0.528402	0.250627	0.774443	1.23839	1.05152	0.285307	1.21739	1.78384
chr1-71010001-72010000	0.731261	1.2844	0.979858	1.28866	1.89125	0.909091	2.18069	1.15425	0	1.20275	1.84783
chr1-72010001-73010000	0.576923	1.38889	1.88464	1.56472	0.533333	1.17532	0.931677	1.75824	1.32159	1.25673	0.963597
chr1-73010001-74010000	0.809717	1.48992	1.01752	0.651042	1.3587	1.43816	0.887574	1.68919	1.65414	0.722022	1.12245
chr1-74010001-75010000	0.970874	0.680272	0.869565	1.59363	0.934579	1.53257	0.316456	1.17647	1.39276	0.683761	1.87305
chr1-75010001-76010000	1.2605	0.720721	1.02681	0.823045	2.18978	0.480307	0	1.66667	1.443	1.12994	1.10887
chr1-76010001-77010000	1.10701	0.829493	1.04932	0.542005	1.02564	0.562852	0.597015	0.842105	0.433526	1.24555	1.5015
chr1-77010001-78010000	1.002	0.79646	0.83612	1.03493	1.4218	0.648749	0.57971	0.76087	1.2894	0.529101	2.13632
chr1-78010001-79010000	0.919118	1.09589	1.02623	1.5493	1.45278	0.8	1.88088	0.329308	1.42405	1.4975	1.26183
chr1-79010001-80010000	0.411523	0.713649	0.991189	0.814111	2.02703	1.44231	0.557103	1.72414	1.10063	1.31796	1.38298
chr1-80010001-81010000	0.590551	0.448833	1.2426	0.842697	1.60858	0.854701	1.24224	0.968784	0.732064	1.07143	1.06496
chr1-81010001-82010000	1.20724	1.2987	0.917431	1.47601	1.24378	0.751174	1.17647	1.84984	1.01892	0.375235	1.10887
chr1-82010001-83010000	1.13422	0.983021	1.26582	1.00865	0.966184	1.33333	0.564972	1.36519	1.06383	0.915751	1.30577
chr1-84010001-85010000	0.986193	1.44928	0.860092	0.416089	0.938967	1.0397	0.882353	0.925926	0.609756	0.711744	1.13402
chr1-85010001-86010000	0.392927	1.20259	0.788732	0.85592	0.966184	1.59925	1.19048	1.34228	2.31214	1.6158	0.724638
chr1-86010001-87010000	1.46138	1.47059	0.66335	1.03761	1.87668	1.43403	0.940439	0.424178	0.732064	0.713012	1.2513
chr1-87010001-88010000	1.67286	0.778968	0.855188	0.670241	1.19048	1.73913	0.920245	0.641711	0.808625	1.06383	0.957447
chr1-88010001-89010000	0.359712	1.05263	1.07771	1.14796	1.18483	0.676983	0.273973	1.01124	0.672948	1.0118	0.525762
chr1-89010001-90010000	0.961538	1.89215	0.825083	0.538358	0.735294	0.954198	0.316456	0.45045	0.715308	1.07527	1.25261
chr1-90010001-91010000	1.47601	1.02326	0.538213	0.725689	0.917431	0.737327	0.591716	1.10619	0.436681	0.185874	0.321888
chr1-91010001-92010000	1.52964	0.810811	0.603732	1.09141	1.66667	1.23692	0.294118	1.42349	0.674764	0.362319	1.26449
chr1-92010001-93010000	0.53286	1	1.51685	0.973574	1.70316	0.570342	0.561798	1.1274	1.78571	0.522648	1.04058
chr1-94010001-95010000	0.724638	1.51246	1.14379	1.03093	0.943396	1.15658	1.17647	0.967742	1.04167	1.2069	0.594648
chr1-95010001-96010000	1.16054	1.07817	1.22087	1.09739	0.506329	1.05973	0	1.13402	0.821918	0.167504	0.845666
chr1-96010001-97010000	0.988142	0.80429	1.21749	1.09739	1.01523	1.24777	2.73556	1.3468	1.20664	0.535714	1.58416
chr1-97010001-98010000	0.382409	0.739372	1.11982	1.71504	1.69492	1.05668	0.28169	1.75824	1.2931	0.496689	0.729927
chr1-98010001-99010000	2.07156	0.795756	0.952915	1.19205	0.787402	2.02952	1.40056	0.914286	1.36571	0.764818	1.14226
chr1-99010001-100010000	1.20724	1.19266	0.837054	2.08605	1.23153	1.83486	0.578035	0.422386	1.4556	0.754717	0.53135
chr1-100010001-101010000	0	0.932836	0.732807	0.680272	0.744417	1.14504	0.615385	1.18026	1.22888	0.925926	1.51188
chr1-101010001-102010000	0.379507	1.12847	1.00796	0.422535	1.21655	1.03189	0.600601	0.912201	1.85185	0.860585	0.821355
chr1-102010001-103010000	1.222	0.76661	1.29432	0.68306	2.10773	1.0772	0.877193	1.56425	1.34731	0.210084	1.03306
chr1-105010001-106010000	1.92678	1.01758	1.68998	1.34731	0.26455	1.71171	2.52366	1.50538	1.06545	1.52381	1.89521
chr1-106010001-107010000	1.29032	1.04563	1.48368	0.808625	1.96078	1.27576	0.593472	1.62602	1.31004	1.11111	1.32789
chr1-107010001-108010000	1.43737	0.861326	1.10072	1.91257	1.20482	0.754717	1.08108	0.845666	0.745156	0.49505	0.915565
chr1-109010001-110010000	0.557621	0.725953	1.01294	0.581395	0.23753	0.673077	0.304878	0.655738	0.152439	1.26354	0.700701
chr1-110010001-111010000	1.13208	0.919732	0.935065	0.973574	0	2.05607	1.1976	1.76796	0.859599	4.0293	1.13519
chr1-111010001-112010000	0.56926	1.05356	0.721821	1.15385	0.952381	1.7257	0.949367	1.27119	0.564972	0.719424	0.394089
chr1-112010001-113010000	1.47059	1.56386	0.695559	0.425532	0.671141	1.55678	0.847458	1.32597	0.917431	0.308642	1.58228
chr1-114010001-115010000	1.2987	1.48862	1.8114	1.57593	1.94647	1.10497	0.609756	0.726141	0.543478	2.18579	0.960512
chr1-115010001-116010000	0.738007	0.752587	0.934579	1.31406	1.17925	1.11111	1.57233	0.34642	0.953678	1.60142	0.907258
chr1-116010001-117010000	1.31086	1.14035	0.887902	0.837989	1.55902	0.922509	0	0.533049	0.732064	1.31086	0.298805
chr1-117010001-118010000	0.554529	1.25673	0.595883	0.834327	1.21359	1.37615	0.619195	1.02459	0.416667	0.671141	1.30916
chr1-118010001-119010000	1.99275	0.44843	1.00111	0.547196	0.954654	1.34409	1.43266	1.12108	1.02041	1.10092	1.02354
chr1-119010001-120010000	0.384615	0.874126	0.539665	1.40056	1.03093	0.738689	1.65746	0.742312	1.41844	0.482315	1.76471
chr1-151535435-152535434	0.897666	0.594228	0.944969	0.136799	0.738916	0.910747	0.78125	0.864865	0.898204	0.682594	0.299401
chr1-152535435-153535434	1.66052	0.676247	0.908605	0.529101	0.503778	1.16801	0	1.13402	0.829876	0.990099	0.290135
chr1-154535435-155535434	0.892857	1.79076	0.99889	0.132626	0.959233	2.8348	1.02302	2.16155	1.63934	0.862069	1.01215
chr1-156535435-157535434	0.875657	1.71635	0.732218	1.22449	0.257069	0.751174	0.842697	1.08225	2.07407	0.8726	1.06075
chr1-157535435-158535434	0.914077	0.515464	0.948867	1.43791	1.21951	0.998185	0.8	1.40998	1.27479	1.37931	1.07108
chr1-158535435-159535434	1.32576	1.47314	1.64806	1.5444	0.239234	0.853081	1.40845	1.49095	0.755287	0.681431	2.24719
chr1-159535435-160535434	3.04183	1.21739	1.28963	1.34409	0.472813	1.74081	0.25974	0.646552	0.407609	1.51771	2.04082
chr1-162535435-163535434	2.7451	1.06195	1.35065	1.17035	1.00251	0.746269	0.552486	1.34855	1.16279	0.168919	0.469043
chr1-163535435-164535434	1.13208	0.911577	1.08519	0.878294	0.70922	1.01664	1.67598	1.15304	1.40845	0.866551	0.630915
chr1-164535435-165535434	1.72084	1.1474	1.38274	0.506971	1.11607	1.7179	1.71429	1.72414	1.52439	1.5025	0.884086
chr1-166535435-167535434	2.01465	1.17329	0.806885	0.534045	1.71149	1.30233	1.62338	0.879121	1.13821	1.2069	0.813835
chr1-167535435-168535434	1.3308	0.640439	0.867679	0.997506	0.234742	0.725953	1.14613	1.05708	0.557103	0.846024	1.79894
chr1-168535435-169535434	0.763359	0.362976	1.02647	0.532623	0.956938	1.15718	1.73913	1.18153	1.34529	0.905797	2.079
chr1-169535435-170535434	0.795229	0.651163	1.19565	1.04439	1.44928	1.18289	0.636943	0.874317	0.833333	0.784314	0.918367
chr1-170535435-171535434	0.963391	0.44843	1.27253	1.62602	1.42857	1.34615	0.882353	0.220994	1.54278	1.08499	0.916497
chr1-171535435-172535434	0.915751	0.626118	1.13883	0.406504	0.52356	1.37868	0.887574	0.424628	0.740741	1.08108	1.31313
chr1-172535435-173535434	1.09489	0.435161	1.47219	1.01911	0.70922	1.05465	1.07527	0.722394	0.424328	0.164204	1.67539
chr1-174535435-175535434	0.735294	0.822669	1.07527	1.92061	0.515464	0.759734	0.664452	0.321199	0.70028	1.06572	1.04058
chr1-175535435-176535434	1.21704	0.0900901	1.21079	1.4966	1.71569	1.2093	1.88088	0.735294	1.48148	1.15702	3.07018
chr1-176535435-177535434	0.75188	0.428816	1.13391	1.73103	1.7284	0.45045	3.36391	0.739958	0.935829	0.988468	1.32924
chr1-177535435-178535434	0.907441	0.907441	0.596529	0.788436	0.257732	1.05263	0.613497	1.39535	0.611621	1.31332	0.835073
chr1-179535435-180535434	1.0142	0.440141	1.24224	1.40647	1.0582	1.30522	1.48368	1.22087	0.75643	0.345423	0.861141
chr1-180535435-181535434	1.08696	0.511945	1.35841	1.19522	0.497512	1.34357	1.04167	0	0.750751	0.840336	1.04167
chr1-181535435-182535434	0.543478	0.0898473	0.930487	0.962861	1.78571	0.568182	1.7094	0.645856	1.28388	0.348432	2.12982
chr1-182535435-183535434	1.47059	0.725953	0.593952	0.56101	1.27226	1.79533	0.955414	1.03093	1.0279	0.33557	1.2333
chr1-183535435-184535434	1.27042	0.344828	0.931677	0.939597	1.24069	1.15761	1.40056	0.762527	1.69252	1.87075	0.403633
chr1-184535435-185535434	1.37525	0.527704	1.18855	1.90996	0.742574	1.03383	0.906344	1.06838	0.782473	0.512821	1.37131
chr1-185535435-186535434	1.15163	0.813008	1.21822	0.949796	1.16822	1.34228	1.51057	1.01925	0.455927	0.17301	1.21827
chr1-186535435-187535434	0.719424	0.714286	0.818777	1.5493	0.961538	0.999092	1.47493	0.739958	0.60423	1.33843	0.728408
chr1-187535435-188535434	1.59681	0.818926	1.35374	0.645161	1.37741	1.44648	1.28617	0.346821	1.24309	0.719424	1.26874
chr1-188535435-189535434	1.89873	0.662252	1.67691	0.548697	1.59151	0.865385	3.003	0.461361	1.35338	0.560748	1.66482
chr1-189535435-190535434	1.55642	1.19641	2.03607	1.20805	1.84697	0.642202	2.04678	0.540541	1.52207	1.14723	0.982533
chr1-190535435-191535434	1.07991	0.94697	2.01729	1.07962	2.19178	0.877193	2.26537	0.55371	0.152207	0.728597	1.17396
chr1-191535435-192535434	1.40845	0.90009	1.91194	1.28571	2.30769	1.08108	1.52439	0.4329	0.600601	1.54739	1.31313
chr1-192535435-193535434	1.23711	0.527241	1.37065	1.90337	1.53846	1.15385	1.5015	0.462963	0.758725	0.732601	0.884956
chr1-193535435-194535434	0.725953	0.531915	2.00343	1.17801	1.03359	0.639854	0.903614	0.748663	0.435414	1.45719	1.56556
chr1-194535435-195535434	1.29032	0.0921659	1.77244	1.71958	2.77778	0.890208	1.2012	1.00559	1.08527	0.907441	1.2973
chr1-195535435-196535434	1.03093	0	1.18133	1.06383	0.753769	1.26706	1.22324	0.873362	1.34328	0.766284	1.16279
chr1-197535435-198535434	1.65289	0.616197	0.912201	1.2766	0.791557	1.41643	1.92308	0.530786	0.843882	1.8018	1.34529
chr1-198535435-199535434	0.790514	0.546946	1.07585	1.34771	1.14943	0.660377	0.613497	0.874317	1.52672	0.772201	1.2959
chr1-199535435-200535434	1.14943	0.178412	0.915455	0.828729	1.69492	0.820419	1.44928	0.563698	0.416089	1.66052	0.818833
chr1-200535435-201535434	0.976562	0.907441	1.0644	0.384615	1.25628	0.366636	1.12045	0.224972	1.46199	0.692042	0.971922
chr1-202535435-203535434	0.907441	1.07143	1.02881	0.554017	1.23762	1.30841	6.29139	0.838574	0.572246	1.25899	1.2513
chr1-203535435-204535434	0.562852	0.537634	1.01822	0.535475	0.457666	1.17117	0.872093	0.531915	1.34731	1.89329	0.915565
chr1-204535435-205535434	0.550459	0	0.762112	0.777202	0.763359	1.02421	1.14943	0.544662	1.67683	0.675676	1.22825
chr1-206535435-207535434	0.840336	1.06007	0.867679	0.78637	0.737101	1.09389	1.5748	1.19048	0.437956	2.0339	0.608519
chr1-208535435-209535434	0.93633	0.551978	0.66838	2.22841	1.48148	1.54405	1.44092	1.6538	1.74927	1.23457	0.999001
chr1-209535435-210535434	1.1215	0.627803	0.585106	1.39417	1.39211	1.27827	1.06667	0.512295	1.35135	2.02206	1.07066
chr1-210535435-211535434	0.380228	0.546448	0.839396	1.23967	1.23457	0.92081	1.51976	1.08342	0.869565	0.735294	0.724638
chr1-211535435-212535434	1.02881	0.364964	0.825083	0.272109	0.683371	1.88857	0.903614	0.337458	0.300752	1.0327	1.25918
chr1-212535435-213535434	2.10158	0.348129	1.25068	0.811908	0.733496	1.15496	0.864553	0.451467	0.426743	0.931099	1.09453
chr1-213535435-214535434	1.91304	1.15865	1.05263	0.912647	0.675676	1.029	1.10803	0.415369	0.782269	0.516351	1.27119
chr1-214535435-215535434	1.52964	0.456621	0.614439	0.806452	0.985222	1.00548	1.64384	0.632911	0.56899	1.25224	1.18577
chr1-215535435-216535434	0.398406	0.368664	1.06562	1.85185	1.6092	0.958773	0.867052	0.544662	1.17994	0.71048	0.519751
chr1-216535435-217535434	0.919118	1.02996	1.41323	0.899743	2.40964	1.34168	0.884956	0.695134	1.43885	0.733945	1.01833
chr1-217535435-218535434	1.47874	1.1786	0.914286	1.33869	1.02828	1.29482	1.37363	1.31723	0.416667	0.692042	0.873362
chr1-218535435-219535434	0.740741	0.614035	1.1583	1.78082	0.478469	0.648749	0.588235	0.212766	1.31195	1.06762	1.05263
chr1-219535435-220535434	1.44928	1.05634	0.775623	1.34409	0.959233	0.829493	0.331126	0.650054	1.27592	0.957854	1.06045
chr1-220535435-221535434	1.43113	1.36364	1.0039	2.99479	1.43198	1.5534	1.67598	1.02987	0.900901	1.57895	0.515464
chr1-221535435-222535434	1.66052	0.61296	0.777346	0.27137	1.76768	0.727273	0.874636	0.537057	1.44092	1.0274	1.21704
chr1-224535435-225535434	0.760456	1.44274	0.875753	0.938338	1.5625	1.05364	0	0.215517	0.551724	0.711744	0.823893
chr1-225535435-226535434	0.884956	1.84672	1.62514	1.80305	0.47619	1.89573	0.539084	0.335196	1.19581	0.653595	0.93361
chr1-226535435-227535434	1.40281	0.935454	0.956938	1.07383	0.968523	1.57407	0.283286	1.03926	1.08527	1.96078	0.997783
chr1-227535435-228535434	1.63265	0.277778	0.952381	1.08548	1.69492	1.1011	1.16618	0.697674	1.09204	1.19048	1.47524
chr1-229535435-230535434	0.566038	0.824176	0.612813	1.52778	3.39806	1.05566	0.923077	0.453001	1.26939	0.883392	1.28342
chr1-230535435-231535434	1.73913	0.658514	1.03996	1.90597	0	0.84666	1.14286	0.665927	0.559441	1.1745	1.22699
chr1-231535435-232535434	0.5386	0.877963	1.0287	0.769231	1.26582	1.14504	0.859599	0.636267	1.33333	2.06897	0.70922
chr1-232535435-233535434	1.43885	1.33809	1.04167	0.952381	0.501253	1.55251	0.297619	1.60256	0.862069	0.687285	1.04058
chr1-233535435-234535434	0.756144	1.22378	1.04058	1.43979	0.97561	0.791557	0.864553	1.1879	1.00719	0.853242	0.99108
chr1-235535435-236535434	1.04822	1.54405	0.777047	0.262812	0.995025	0.637523	1.23839	1.07411	0.594354	0.515464	0.8867
chr1-236535435-237535434	1.11732	0.94162	0.969388	0.675676	0.911162	1.41243	1.53374	0.750268	1.27841	0.722022	1.69312
chr1-237535435-238535434	1.68856	0.963222	1.51992	2.54597	2.78481	1.20148	1.64474	1.05932	1.59884	0.880282	1.79136
chr1-238535435-239535434	0.75188	1.16697	1.35501	1.72662	2.26757	1.2218	1.4245	1.34529	1.85185	1.89983	1.6546
chr1-239535435-240535434	1.16505	0.883392	1.473	0.36452	1.41176	0.628366	0.314465	1.06383	0.414938	0.837521	1.84426
chr1-240535435-241535434	0.932836	1.05777	1.16086	1.03093	1.64319	1.12749	1.40845	0.622407	1.10193	1.58172	1.77083
chr1-243535435-244535434	0.194175	0.847458	1.14255	1.48649	0.744417	0.863724	1.18343	0.107759	1.44092	0.739372	0.655022
chr1-244535435-245535434	1.37694	0.80429	1.60514	1.34228	1.54639	1.09019	0.626959	1.41921	1.03858	0.351494	0.504541
chr1-245535435-246535434	1.03448	0.732601	1.30222	1.67095	1.8648	0.822669	0.892857	1.3544	2.04082	0.63593	1.09235
chr10-1010001-2010000	0.383142	0.863558	1.09489	1.81818	0	0.853081	0.290698	1.57729	0.853485	1.45985	0.923077
chr10-2010001-3010000	1.20069	0.807175	1.14691	1.43043	0.236407	0.974314	0.882353	1.65746	1.97628	0.874126	0.622407
chr10-3010001-4010000	1.59011	1.00825	0.866021	1.04849	0.441501	1.04563	0.810811	0.826446	0.539811	1.59574	0.909091
chr10-4010001-5010000	1.32075	1.10599	0.701187	0.948509	0.721154	0.970874	0.543478	0.95037	0.83682	3.33919	0.603622
chr10-6010001-7010000	0.727273	0.666667	0.876712	1.34409	0.487805	1.05364	0.558659	2.00445	0.802139	1.60428	0.929752
chr10-7010001-8010000	2.05832	1.49912	0.739176	1.37157	0	1.08011	1.40449	1.85792	1	0.527241	0.714286
chr10-8010001-9010000	0.956023	0.810811	1.16215	0.648508	0.980392	1.24046	0.319489	1.40845	0.582242	1.37931	0.667302
chr10-9010001-10010000	1.77515	1.38376	1.41458	0.780234	0.243309	1.04265	2.71903	1.6835	0.691563	1.46789	1.01729
chr10-10010001-11010000	1.62272	1.5748	0.540541	1.29032	0.226757	1.32275	1.24224	1.46138	1.2766	1.82482	0.720906
chr10-11010001-12010000	0.548446	0.707339	0.997899	0.823045	0	1.21269	1.62602	1.01925	0.683995	0.378072	1.15546
chr10-13010001-14010000	1.18846	1.22592	1.09204	0.399467	0.232558	1.0101	1.80723	1.08814	0.964187	1.92	1.07296
chr10-14010001-15010000	1.16473	1.39983	1.06045	0.906736	0.680272	0.770713	0.806452	1.08342	0.829876	1.99667	0.702811
chr10-15010001-16010000	1.50376	0.596252	1.2306	0.813008	0.722892	1.96445	1.38889	0.662983	2.35294	1.19863	0.622407
chr10-16010001-17010000	1.24555	1.05171	1.23258	1.1658	1.78571	0.871249	0.308642	1.52174	1.04167	1.5625	0.668577
chr10-19010001-20010000	0.579151	0.855513	1.3245	1.24481	1.09409	1.28713	1.52905	1.42544	1.83206	2.07612	0.42508
chr10-20010001-21010000	1.09091	1.03578	1.3971	1.48649	0.490196	1.03872	0.593472	0.941423	1.03245	0.537634	0.776915
chr10-21010001-22010000	0.907441	1.24888	1.0118	1.02041	1.25945	0.816697	0.892857	1.22494	1.3587	0.332226	0.40201
chr10-22010001-23010000	0.785855	0.99278	0.590446	0.42796	0.236967	0.506073	1.21212	0.893855	0.874636	0.760456	0.956429
chr10-23010001-24010000	1.19454	1.26927	1.14441	0.814111	0.234192	1.71103	1.0989	1.18662	0.451807	0.337268	0.917431
chr10-24010001-25010000	1.12994	1.26013	1.21279	1.36426	0.238663	0.77821	0	1.9209	1.38313	1.04348	0.414079
chr10-25010001-26010000	1.16054	1.38504	1.30412	1.20968	0.726392	0.733272	1.14613	0.983607	0.872093	1.91972	0.599401
chr10-26010001-27010000	0.59761	0.797166	0.980392	1.09739	0.481928	1.00457	0.268817	1.11607	1.36778	1.02389	0.605449
chr10-27010001-28010000	0.94162	0.548446	0.882515	0.582242	0.802139	1.53257	0.660066	1.59817	1.03245	0.713012	0.656455
chr10-28010001-29010000	1.07914	0.693241	1.18089	1.24688	0.980392	2.00957	0.895522	1.20746	1.4377	0.904159	0.726141
chr10-29010001-30010000	1.66359	0.866551	0.582319	0.769231	0.222717	1.02916	0.27933	0.812183	2.08333	0.524476	0.411523
chr10-30010001-31010000	1.1236	0.635209	0.889383	1.39665	0	1.85529	0.892857	0.95037	0.847458	2.05128	0.200401
chr10-31010001-32010000	0.198413	1.11214	0.86815	1.08992	0.240964	1.04862	0.852273	1.09769	0.89955	1.02249	0.2997
chr10-33010001-34010000	0.571429	0.811542	0.746269	1.33156	0.263158	1.31119	0	0.977517	0.540541	1.1745	0.766284
chr10-34010001-35010000	0.519931	1.02916	1.0155	1.07095	0.779221	0.942507	0.617284	1.5873	1.14286	1.21951	0.212089
chr10-35010001-36010000	0.560748	0.894454	0.990099	2.98507	1.25628	1.16167	1.47929	1.68161	0.621118	1.42602	0.852878
chr10-36010001-37010000	0.3861	0.769231	0.98804	0.848656	0.932401	1.70616	0.571429	1.07643	0.862069	1.75131	1.23077
chr10-43254936-44254935	0.566038	2.03515	1.17845	0.571429	1.03627	0.608519	0.588235	1.41767	0.589971	0.375235	0.857449
chr10-44254936-45254935	1.71103	1.5138	1.00529	1.6731	0.452489	1.25	1.23077	0.645161	0.594354	0.87108	0.3996
chr10-53254936-54254935	1.1811	1.21269	0.778643	1.43885	0.896861	1.45191	0.578035	0.85197	1.34933	0.359066	0.443459
chr10-54254936-55254935	1.65138	0.906618	0.937155	1.06383	0	1.02708	0.309598	0.429185	1.77134	1.24777	0.102145
chr10-55254936-56254935	1.20724	1.02326	0.964265	0.960219	1.07239	0.880626	1.875	0.882029	0.443787	0.922509	0.668151
