Bin	TCGA-BT-A3PJ	TCGA-DK-A1A7	TCGA-FD-A3N5	TCGA-FT-A3EE	pooled_low_WT	TCGA-BL-A13J	TCGA-BT-A20T	TCGA-BT-A20V	TCGA-BT-A2LA	TCGA-BT-A3PH	TCGA-CF-A27C	TCGA-DK-A1A5	TCGA-DK-A1A6	TCGA-DK-A1AA	TCGA-DK-A1AE	TCGA-DK-A3IL	TCGA-FD-A3N6	TCGA-GD-A2C5	TCGA-H4-A2HQ
chr1-33010001-34010000	1.24932	1.18734	1.15562	0.652174	0.775194	0.171527	1.81034	0.422833	0.892857	1.68324	1.17878	1.07172	0.555556	0.438596	0.198413	0.559441	1.03734	0.831601	1.56754
chr1-34010001-35010000	0.967222	1.0043	1.38568	1.0661	0.666667	0.878735	1.32979	0.643777	1.27298	1.21255	0.541516	0.909091	1.00619	0.469484	0.816327	1.50376	0.809717	1.11483	1.06138
chr1-35010001-36010000	0.875753	1.03704	0.978179	1.94647	0.800534	0.568182	0.995475	0.208333	0.808625	1.04167	0.396825	0.946644	0.470958	0.655022	0.457666	0.30303	0.192308	0.736067	1.46434
chr1-36010001-37010000	1.24324	1.09141	0.894855	0.686499	1.00439	1.10701	0.61674	0.397614	0.813008	1.46546	0.613497	1.49606	1.01642	0.253807	0.806452	0.687758	0.793651	0.398804	1.06383
chr1-37010001-38010000	0.527148	0.307692	0.772798	1.28535	1.21019	1.04895	1.14537	0.649351	1.90217	1.1994	0.571429	2.34818	1.29136	0.606061	1.16822	1.32939	1.01626	1.02041	0.69541
chr1-38010001-39010000	0.738007	0.724638	0.436681	1.1236	1.43229	0.552486	0.515464	1.32075	0.859951	1.1486	1.94175	0.918836	1.37615	0.699301	0.421053	1.4771	0.403226	0.977199	0.754361
chr1-41010001-42010000	1.17515	0.964187	1.03397	1.33333	0.924092	0.182815	0.536193	0.223714	0.840336	1.03704	0.353982	1.03421	0.415282	0	0.207469	0.413793	0.60241	0.441501	0.707547
chr1-42010001-43010000	0.86815	0.992908	0.911162	0.226757	0.826446	1.35659	0.998185	0.481928	1.48248	1.09546	0.416667	0.902379	0.581879	0.869565	2.13675	1.20482	0.788955	0.773481	1.28146
chr1-43010001-44010000	0.911162	1.63488	1.11773	1.93237	0.776699	0.860585	0.83877	0.471698	0.985915	1.65165	1.0101	0.976404	1.12631	0.214133	0.817996	0.710227	0.423729	0.326797	0.629845
chr1-44010001-45010000	1.18407	1.44928	0.762195	0.702576	0.529101	0.869565	1.08499	0.203666	0.670241	1.29683	0.553506	0.675105	0.3885	0.215983	1.00402	0.748503	0	1.34228	0.897496
chr1-48010001-49010000	1.43617	1.14286	1.05263	1.13379	0.680735	0.952381	0.688468	0	0.983146	1.18782	0.854701	1.24792	0.954654	0.847458	0	0.727802	0.472813	0.556793	0.694444
chr1-50010001-51010000	1.42857	1.03093	0.681302	0.909091	1.20401	1.47874	0.888099	1.30435	1.83616	0.523169	0.847458	1.11684	1.11397	1.45278	1.32159	1.04167	0.930233	1.33038	1.30172
chr1-51010001-52010000	1.36388	1.67939	1.01167	1.18203	0.978337	0.367647	0.64695	0.505051	1.1065	0.978916	0.803213	1.53846	0.740741	0.814664	1.14679	0.469484	0.209644	1.38249	0.383142
chr1-52010001-53010000	1.74102	0.864553	1.20773	1.65877	0.871898	0.541516	0.371058	0.691244	0.846262	1.22231	1.81818	1.73776	0.930626	0.409836	0.982318	0.582242	0.209644	1.66667	0.744532
chr1-53010001-54010000	1.27494	0.97493	0.597461	1.74672	0.774693	0.381679	0.831793	0.606061	1.52672	1.56951	0.934579	1.19904	0.389105	0.43573	0	0.969529	0.385356	0.542299	0.88208
chr1-54010001-55010000	1.32979	1.10193	0.974513	0.70922	0.930851	0.705467	0.914077	1.31868	1.07672	1.16026	1.63636	0.681431	1.40406	0.207039	0	0.573888	0.425532	0.210526	1.15848
chr1-55010001-56010000	1.44605	1.50068	1.27916	0.238095	0.713822	0.189394	0.701754	1.05932	0.832178	0.966962	0.19685	0.815661	0.747508	0.449438	0.835073	1.00865	0.203666	1.25714	0.646651
chr1-56010001-57010000	0.849708	0.431034	0.73831	0.740741	0.630694	1.18577	1.24555	0.473934	1.14449	0.985595	1.73536	0.550747	1.11288	1.33038	0.228833	0.601504	1.36054	0.732984	0.818882
chr1-57010001-58010000	1.18343	1.10193	1.24514	0.941176	0.762301	1.09689	0.923361	1.21655	1.15942	1.18431	0.795229	1.53597	0.625	1.38249	0.616016	0.934579	1.27389	0.646552	0.975383
chr1-59010001-60010000	1.07969	2.44957	0.854037	2.15827	1.22449	0.70922	0.717489	1.08696	1.27119	0.70028	0.60241	1.47975	0.4095	0.21692	0.4158	0.75643	0.208768	1.06762	1.02183
chr1-60010001-61010000	1.29797	1.20664	1.36876	1.53846	0.757054	0	1.28795	0.227273	1.14286	1.40533	0.567108	0.818331	0.569569	0.642398	1.81818	0.3003	1.90024	0.237248	0.943396
chr1-61010001-62010000	0.996678	0.761035	1.23457	1.83486	1.20739	0.56391	0.830258	0.829876	0.724638	1.10585	0.451467	1.06122	0.901639	3.22581	1.07296	0.787402	0.622407	1.39697	1.23579
chr1-62010001-63010000	0.732394	0.428571	1.17005	1.24069	0.867824	0.179533	1.2476	1.13379	0.733138	0.912548	1.78218	1.27986	0.732899	0.71599	0.21097	0.846262	0.428266	0.549451	1.32809
chr1-63010001-64010000	0.936123	1.55148	0.818452	0.928074	0.839748	1.31086	1.05871	1.11359	0.847458	1.40741	1.62272	1.26904	0.767918	0.900901	0.399202	1.25392	0.665188	0.344828	1.35406
chr1-64010001-65010000	0.652884	1.03397	1.17925	1.21359	1.05783	0.385356	0.835655	0.449438	1.78042	0.667656	0.619835	0.87184	1.12812	0.738916	0.862069	1.08359	1.25523	0.350058	0.954654
chr1-65010001-66010000	0.973499	1.05263	1.90114	1.80587	1.09589	0.580271	1.00273	1.65094	1.34731	1.11023	0.573614	0.996678	0.625978	0.443459	0.422833	0.298954	0.668151	0.547645	0.914781
chr1-66010001-67010000	1.16897	1.05263	1.61551	1.58014	1.44529	0.93985	2.36742	0.767263	2.20588	1.25647	0.883002	1.49378	1.00167	0.928074	0.21097	1.56986	0.858369	1.23735	1.51875
chr1-67010001-68010000	1.18913	1.55367	0.602864	1.22249	0.916138	0.715564	0.979432	0.945626	1.90476	1.36218	1.04384	1.10357	0.756939	0.485437	0.657895	0.596125	0.240385	1.18064	1.06848
chr1-68010001-69010000	0.808625	2.02703	0.55205	1.47059	0.862689	1.62272	1.00548	0.680272	0.725689	1.28205	1.9802	1.24688	0.950872	0.231481	0.877193	0.750751	0.21097	1.33495	1.07843
chr1-69010001-70010000	1.21614	1.01449	1.70147	2.45536	1.33709	1.80723	0.9839	0.510204	1.05422	0.691244	1.00402	1.17155	1.43339	2.20588	2.08333	0.747384	0.4662	1.61105	1.7094
chr1-70010001-71010000	0.851305	1.2931	0.628931	1.44231	1.56997	1.30354	1.48699	0.7109	1.0101	0.786782	0.875274	1.25104	1.25628	1.26316	1.49893	1.44928	0.451467	1.20746	2.16749
chr1-71010001-72010000	1.25	1.82371	1.08025	1.18765	0.758621	1.50943	1.34529	0.970874	1.74419	0.981873	2.67261	1.01523	0.314465	1.23762	1.10619	0.892857	1.72414	1.38568	2.16516
chr1-72010001-73010000	1.44364	1.08192	1.50263	0.712589	1.983	2.22672	1.53551	2.21675	0.775194	1.28205	1.06157	2.04255	1.26904	1.26582	1.99115	1.88383	2.23714	2.42494	2.15264
chr1-73010001-74010000	1.45474	0.608828	1.24031	2.08333	1.61054	1.62162	0.84507	2.35294	0.943396	1.9305	1.2931	1.47186	1.99653	2.8436	0.904977	1.95122	1.64706	1.74216	1.13314
chr1-74010001-75010000	1.13698	1.37615	1.33125	0.968523	1.28023	0.3663	1.68539	2.30769	1.48368	1.4218	0.460829	1.12554	1.82395	1.60183	0.635593	0.605144	0.843882	0.777778	2.03883
chr1-75010001-76010000	1.03389	0.647249	1.1655	1.95122	1.43164	1.35135	0.951475	2.53456	2.05882	0.54816	0.204082	1.41732	1.38436	1.47059	0.412371	2.22552	0.894855	2.38095	1.24046
chr1-76010001-77010000	0.952381	1.0989	1.00541	1.79949	1.56889	1.57171	0.458295	0.490196	1.36157	0.620155	0.643777	0.832639	1.31904	0.875274	0.402414	1.8018	0.692841	1.48402	2.04366
chr1-77010001-78010000	1.01118	0.927357	1.46718	1.00503	1.28297	0.775194	1.11214	0.505051	1.28388	0.684411	0.411523	0.752508	1.22951	1.19048	0.197628	1.80921	1.2959	0.572738	2.69017
chr1-78010001-79010000	1.03712	1.02941	1.18483	0.943396	1.13234	1.78218	1.22295	0.936768	1.01302	0.876494	1.91489	0.253807	1.26582	1.12108	0.215054	0.766871	0.446429	1.29171	1.05414
chr1-79010001-80010000	0.727069	0.60423	0.934579	1.53846	1.45138	0.914077	1.08481	2.57069	1.38504	1.18017	1.02041	1.79051	1.10827	2.04545	0.634249	1.81219	0.875274	1.20746	1.4985
chr1-80010001-81010000	0.76087	1.01744	1.08025	0.702576	1.64179	0.972763	1.04563	1.69903	1.13086	1.02282	2.3913	1.27877	0.608167	2.59434	0.833333	1.03397	1.73913	1.47727	1.89689
chr1-81010001-82010000	1.3289	0.868307	1.58353	1.86916	1.72786	1.01215	1.12554	1.28866	1.39104	0.670641	1.08696	1.97087	0.989283	1.51515	0	1.76	0	0.4914	1.38359
chr1-82010001-83010000	1.23249	0.750751	0.918133	1.17096	1.40656	0.573614	0.88845	1.4742	0.874636	1.45243	0.78125	1.32159	1.00503	0.961538	0.896861	1.09204	1.17925	1.19332	1.43778
chr1-84010001-85010000	1.07239	0.429185	1.06732	1.21065	0.976971	0.191571	0.368324	0.243902	0.57971	0.998464	1.05485	0.788782	0.522648	0.470588	1.17096	0.801282	0.223714	0.671141	0.567108
chr1-85010001-86010000	0.990644	1.30435	1.28514	0.902935	0.855826	0.738007	0.785855	0	1.11266	1.3751	1.02249	1.22058	1.63265	0.221729	0.215983	0.576369	0.904977	1.39211	0.621415
chr1-86010001-87010000	1.14817	1.02041	1.17371	0.970874	1.00503	0.182149	1.08597	0.20284	1.56006	1.30168	1.07296	0.328677	0.690846	0.222222	0.226244	0.96463	1.39535	0.588235	0.721501
chr1-87010001-88010000	0.980392	1.27298	1.23188	1.52284	1.17403	0.199203	0.94162	1.16822	0.70922	1.4526	0.590551	0.653595	0.831444	1.59091	0.209644	0.482315	0.653595	0.671141	0.591133
chr1-88010001-89010000	1.44592	0.3125	1	0.488998	1.29683	0.378788	1.18505	0.460829	0.772798	0.775194	0.20202	1.26796	0.868193	0.451467	0.412371	0.78125	0.877193	1.14025	0.485673
chr1-89010001-90010000	1.40924	0.894188	1.02686	0.928074	1.23035	0.187617	0.473934	0.973236	0.550206	0.856698	0.222222	0.522648	0.402901	1.90931	0.411523	1.08865	0.215054	0.917431	0.618165
chr1-90010001-91010000	0.891862	1.03397	1.31387	0.721154	0.895317	0.177936	1.07422	0	1.41243	0.673653	0.403226	1.01351	0.478088	0.222717	0.444444	0.775194	0.883002	0.461361	0.340467
chr1-91010001-92010000	0.763359	0.854701	0.930233	2.14286	0.487465	0.934579	0.843486	0.46729	1.26984	1.45706	0.601202	1.15248	0.620155	1.21065	0	0.46875	1.05485	0.480192	1.28904
chr1-92010001-93010000	1.05791	1.27119	1.04754	0.733496	2.04513	0.69808	0.746965	0.451467	1.23967	0.619675	0.801603	1.1178	1.13544	0	0.702576	0.594354	0.917431	0.3367	0.70855
chr1-94010001-95010000	1.2221	0.794702	0.940439	1.00756	1.40656	0	1.06477	0.457666	1.0929	1.08617	1.01626	0.92437	0.653595	0.217865	0.809717	0.742942	0.966184	1.00784	0.426945
chr1-95010001-96010000	1.20087	1.1976	0.986343	0.779221	1.1356	0.189036	1.01103	1.22249	0.738552	1.07444	0.627615	1.11465	0.632911	0.21645	0.671141	0.757576	0.898876	0.454545	0.580833
chr1-96010001-97010000	0.958827	1.33531	0.805802	1.21951	1.56676	1.81159	1.45773	0.242718	0.764526	1.60584	1.93133	1.30776	1.66521	1.6129	1.4553	1.30506	1.3544	1.04651	1.59925
chr1-97010001-98010000	0.855188	0.636943	0.460829	1.24688	0.728332	2.44821	1.66667	1.17925	1.67428	1.34069	0.584795	1.60067	1.24172	1.1655	0.869565	2.08333	1.32743	0.778643	0.919652
chr1-98010001-99010000	0.987925	2.08955	0.838415	1.33929	1.21951	1.51515	1.17435	0	1.70279	2.04856	1.417	1.32743	1.36986	0.904977	1.766	0.927357	0	0.851582	0.992908
chr1-99010001-100010000	0.925926	0.909091	1.06789	1.44928	0.747384	0.803213	1.72884	1.25	1.05422	1.82371	0.867679	0.496278	1.19556	1.03093	1.10132	0.154799	0.884956	0.931315	0.692726
chr1-100010001-101010000	1.12233	1.36986	0.772201	0	0.611829	0.34965	0.749766	0.225225	0.747384	1.15207	0.639659	1.17057	0.950735	0.223214	0.45045	0.297177	1.12867	0.918485	0.793651
chr1-101010001-102010000	1.1488	0.691563	0.997506	0.252525	0.867245	1.40562	0.573614	1.53061	1.21029	0.91047	0.636943	0.965759	1.45923	1.7199	1.26582	0.797448	0.686499	1	1.30372
chr1-102010001-103010000	0.895208	0.457317	1.32916	2.29008	1.57593	1.12782	0.948767	2.06422	1.82927	1.10132	1.24481	1.70098	1.53191	2.06897	1.54185	2.67112	0.968523	1.15385	1.64729
chr1-105010001-106010000	0.944969	1.99715	1.49254	1.20192	2.42511	2.93501	1.68818	2.33766	0.764526	1.85874	2.64766	1.32013	3.01724	4.82759	3.19361	2.51572	3.18182	2.14031	2.53678
chr1-106010001-107010000	1.42433	0.771605	1.36364	2.49377	1.64794	2.29167	1.29271	1.373	2.6087	1.78862	1.60966	1.96253	1.57676	5.15971	2.25225	2.54372	2.24719	1.41677	2.70142
chr1-107010001-108010000	0.805153	0.750751	0.990099	1.24069	1.0989	1.71103	1.93424	1.19332	1.82094	0.614439	0.93633	1.09244	1.00671	0.726392	1.31004	1.23457	1.6092	0.981461	1.18427
chr1-109010001-110010000	0.592353	0.685871	0.745156	0.869565	0.732357	0.3861	0.472144	0.936768	0.263852	0.681302	0.196464	0.90312	0.246508	0.437637	0.608519	0.960219	0.650759	1.02506	0.69029
chr1-110010001-111010000	0.851703	0.953678	1.12	0.973236	0.889454	0.347222	0.840336	0.2	0.406504	1.74292	1.1976	1.66528	0.624512	1.05708	0.843882	0.566572	0.204499	3.57143	0.847857
chr1-111010001-112010000	1.1212	1.7094	0.930954	0.744417	1.02249	1.27932	1.14236	0	1.30246	1.47167	0.875274	1.15512	0.568643	0	0.671141	0.736377	0.215983	0.918485	0.366804
chr1-112010001-113010000	1.20548	1.07095	1.19142	1.75439	0.819672	0.567108	0.458716	0.223214	1.06383	1.46628	0.759013	1.00418	0.604686	0.952381	0.835073	0.865801	0	0.408163	0.952835
chr1-114010001-115010000	1.08342	0.692521	1.27916	1.12867	1.35044	1.21739	1.28558	0.712589	1.34328	1.18871	0.426439	0.736498	0.794281	1.34831	1.23711	0.609756	0.816327	1.54946	0.83089
chr1-115010001-116010000	0.859107	1.65289	0.981873	1.94175	0.92264	0.173611	0.963222	0.733496	1.17302	0.907029	1.07296	0.352734	0.54902	1.49573	0.828157	1.36364	0.666667	1.22494	0.564706
chr1-116010001-117010000	1.14007	0.884956	1.78306	1.40515	0.636943	1.19522	0.754006	0.46729	1.05402	0.813008	0	0.586756	0.682594	0.437637	0.414079	0.156986	1.05263	1.06132	0.376648
chr1-117010001-118010000	1.11483	1.1065	0.953137	0.75	0.727995	0.34188	0.831255	0.470588	0.994318	1.34731	0.40568	1.04754	0.233827	0	0.217391	0.594354	0.397614	0.874317	1.07226
chr1-118010001-119010000	0.439319	1.29683	0.858034	1.41509	0.702247	0.373832	0.738689	0.707547	0.994318	1.31965	0.961538	0.859107	1.08605	0.451467	1.34529	0.882353	0.987654	0.837321	1.07108
chr1-119010001-120010000	0.795756	0.14771	1.02767	0.696056	0.417246	1.06572	1.34357	0.248139	1.56006	0.735835	1.54143	0.732899	1.21951	0.469484	0.205761	0.60423	0.697674	0.429646	1.55807
chr1-151535435-152535434	0.527148	1.1611	0.874636	1.24069	1.03093	0.732601	0.368324	0.4329	0.847458	0.790798	0.548446	0.732899	0.738916	0.230415	0.865801	1.04948	0.414079	0.891862	0.228938
chr1-152535435-153535434	0.788644	2.26308	0.595681	1.51515	0.746269	0.943396	0.811542	0.699301	0.869565	1.10947	0.408163	1.21065	0.632411	0.657895	0.896861	0.730994	0.617284	0.851064	0.319197
chr1-154535435-155535434	1.23324	0.880503	0.986343	0.860215	1.1335	1.27971	0.173762	0.907029	1.0296	2.53731	1.08893	1.9917	1.19522	0.649351	0.199601	0.819672	0.636943	0.946372	0.699953
chr1-156535435-157535434	1.52551	1.40449	1.08949	2.38612	0.628931	0.347826	1.10906	0	0.270636	0.733138	0.551471	1.00334	1.31904	0.442478	0.8	0.969529	0.763359	1.0101	0.684932
chr1-157535435-158535434	0.628601	1.4245	1.29765	1.64706	1.14171	2.38532	1.81488	1.41844	1.70455	1.19492	1.36986	1.73267	1.33001	1.75879	0.581395	1.77419	0.672646	1.34983	1.25665
chr1-158535435-159535434	1.58817	1.77253	1.26683	1.1236	2.10231	3.2197	1.91781	1.86047	0.859599	0.764526	0.982318	1.85185	1.0084	2.44444	1.71306	1.81818	1.34831	1.05634	2.3166
chr1-159535435-160535434	1.33262	1.47059	1.12	1.75439	0.662691	1.24555	1.18613	0.227273	0.689655	1.87647	0.371058	0.728155	0.313725	0.680272	1.0352	0.884956	0.675676	1.19956	1.67754
chr1-162535435-163535434	1.03486	1.78306	1.16009	1.03359	1.01351	2.23577	1.16906	0.755668	1.02489	0.830816	0.619835	1.3923	0.899428	0.683371	0.792079	0.607903	0.824742	0.539957	0.475511
chr1-163535435-164535434	1.07163	2.42718	0.639488	0.963855	1.29218	4.49219	1.13935	0.945626	0.875912	1.044	1.40281	1.44435	1.24275	1.18483	1.0661	1.23267	1.37615	1.22087	0.570613
chr1-164535435-165535434	1.19112	2.31548	1.39918	1.0917	1.66003	1.95035	0.440917	0.671141	0.819672	1.54867	1.21951	1.53584	1.05263	0.473934	0.220264	1.8018	0.877193	1.08814	0.749415
chr1-166535435-167535434	1.09589	1.1396	0.599251	1.95122	0.850229	0.567108	0.653595	0.900901	1.27119	1.2003	1.2848	0.701754	0.948276	0.808081	0.913242	0.443787	0.618557	1.13122	0.716332
chr1-167535435-168535434	0.599455	1.20301	1.52672	0.717703	0.528751	1.71821	0.941781	0.704225	0.573066	0.889548	0.990099	0.821693	0.631413	0.689655	0.665188	0.478469	0.663717	0.848356	1.3327
chr1-168535435-169535434	0.383352	1.69492	1.54321	0.458716	0.617284	2.27273	0.833333	0.456621	0.874636	1.16189	1.44928	1.33111	1.36054	0.238095	0.652174	0.949367	0.425532	0.596659	1.51367
chr1-169535435-170535434	0.613155	1.90779	1.57604	1.03359	0.919378	1.59363	1.27621	1.20482	1.41643	1.13122	0.663717	0.765306	1.12179	1.97044	1.002	1.43312	1.50215	0.875	1.47129
chr1-170535435-171535434	0.615213	0.91047	1.00775	1.60858	1.53027	2.70793	1.31455	1.83908	1.85185	1.24224	0.813008	0.515021	1.28721	1.59091	0.875274	1.20482	0.646552	1.04167	1.69811
chr1-171535435-172535434	0.664452	0.881057	0.531511	1.43198	0.841515	1.45985	0.744186	0.700935	0.757576	1.34831	1.03734	0.501253	0.412541	1.14416	0.886918	0.645161	0.796813	1.05634	1.2065
chr1-172535435-173535434	0.321371	0.764526	0.46729	1.22549	0.998004	2.33918	0.870322	1.15207	0.851064	1.07941	0.788955	0.658436	0.510204	0.932401	0.429185	0.28169	2	0.323974	1.27015
chr1-174535435-175535434	0.653951	0.455235	1.22231	0.773196	1.23626	1.64534	1.6	0.829876	0.750751	0.918133	1.15473	0.581879	0.567261	0.244499	0.821355	1.88679	0.863931	0.694444	1.27599
chr1-175535435-176535434	0.223464	0.407609	1.40406	0.530504	1.78955	0.972763	1.30719	1.6317	1.28571	1.27341	1.26316	0.64257	1.25523	1.38249	0.421941	0.437318	0.434783	0.842993	2.62751
chr1-176535435-177535434	0.373732	0.75188	1.53226	1.45985	1.19131	2.45902	1.4733	1.15741	1.44509	0.660793	2.59179	1.15416	1.38889	0.457666	0.824742	1.46843	0.925926	1.11857	1.7151
chr1-177535435-178535434	0.664452	1.21457	1.13895	0.238663	0.681663	0.931099	0.713649	0.214592	0.287356	0.923788	0.414079	1.04621	0.424809	0.215983	0.43956	0.312012	1.0989	0.932401	0.878477
chr1-179535435-180535434	0.481283	0.773994	0.397141	2.0202	1.20482	0.728597	1.22873	0.454545	1.0219	1.35135	1	0.930626	0.583333	0.238095	0.904977	0.453172	1.93548	0.660793	0.748363
chr1-180535435-181535434	0.751476	1.34953	1.02848	0.437637	1.15979	0.904159	0.990991	1.20724	1.28755	1.1592	0.740741	0.0800641	0.569106	0.442478	1.53509	0.593472	0.83682	0.534188	0.693802
chr1-181535435-182535434	0.330033	0.740741	0.863422	1.11359	1.2786	0.552486	1.10396	0.5	1.45138	0.603318	1.41414	0.738916	0.889248	1.18483	1.33929	0.739645	1.3245	0.334821	1.28205
chr1-182535435-183535434	0.715859	0.564972	0.923077	1.83908	0.467914	1.6158	0.473485	0.707547	1.19048	1.74292	1.08932	0.854701	1.12812	0.613497	0.585938	0.631912	0.214133	0.327154	0.779347
chr1-183535435-184535434	0.373732	1.17302	1.01404	0.675676	0.750341	1.31148	0.836431	1.15207	1.26939	1.09329	1.35135	0.763359	1.03339	0	0.630252	0.916031	0.43956	1.53509	0.518379
chr1-184535435-185535434	0.432432	0.474684	1.39573	1.92308	0.89779	2.25564	1.53404	1.16009	0.948509	0.918133	0.632911	0.93617	0.524017	0.91954	1.91388	0.652529	0.199601	0.443951	1.23213
chr1-185535435-186535434	0.634585	0.888889	0.943396	1.36674	1.02881	2.75735	0.922509	0.625	2.01729	1.64191	1.7316	0.956522	0.838926	0.697674	0.612245	1.35338	0.41841	0.447427	1.1269
chr1-186535435-187535434	0.660429	0.789889	0.950872	1.11111	1.03377	2.43902	1.44509	0.691244	1.17647	0.965108	1.89474	0.912863	0.582848	0.681818	0.627615	1.35593	1.11359	1.04895	1.10737
chr1-187535435-188535434	0.599129	0.596125	1.73228	1.5748	2.36101	2.6465	1	1.46699	1.64745	1.44928	1.16822	0.367985	1.31471	1.87354	1.35747	1.42857	2.29885	0.696056	1.60321
chr1-188535435-189535434	0.614869	0.294985	1.65615	1.40845	2.01249	2.72904	0.856327	3.58852	2.21169	0.780031	2.35043	0.524476	1.70068	0.911162	1.80995	2.86678	2.457	0.595948	1.63772
chr1-189535435-190535434	0.847458	0.588235	1.18343	1.68675	1.92878	2.99625	0.933707	5.02513	1.58479	0.749064	3.61702	1.17746	1.35249	2.88248	1.875	3.61842	1.65485	2.14031	1.67405
chr1-190535435-191535434	0.892359	1.06545	1.85484	1.02828	1.68869	5.03731	1.59475	3.27103	2.49584	1.19904	2.10526	0.607112	1.42498	2.42131	2.68595	4.04798	2.0979	1.3431	2.15431
chr1-191535435-192535434	0.717439	1.34731	0.704777	2.60417	1.55367	4.84171	1.49254	2.7248	2.24719	1.11857	1.64609	0.762066	0.818331	1.25313	3.07018	2.01005	1.89125	1.61692	2.13371
chr1-192535435-193535434	0.487277	0.887574	1.56617	0.956938	1.08225	3.08285	1.51362	0.681818	1.2931	1.1592	1.19048	0.62167	0.923594	1.7199	0.824742	0.483092	0.47619	0.590319	0.75643
